model,params,checkpoint,training_steps,moves,score_p1,score_p2,n_rounds,noise,family
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J')]",5,5,10,0.25,Win-win
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.25,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J')]",17,17,10,0.25,Unfair
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'F')]",14,17,10,0.25,Biased
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",8,6,10,0.25,Second Best
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.25,Win-win
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'F'), ('F', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'F')]",11,9,10,0.25,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('F', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J')]",11,11,10,0.25,Unfair
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J')]",18,19,10,0.25,Biased
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.25,Second Best
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'F')]",14,14,10,0.25,Win-win
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.25,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('J', 'F'), ('F', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J')]",8,12,10,0.25,Unfair
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('J', 'J'), ('J', 'F'), ('J', 'J'), ('F', 'J'), ('F', 'J')]",12,13,10,0.25,Biased
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('J', 'F'), ('F', 'J'), ('F', 'J'), ('F', 'J'), ('F', 'J')]",16,14,10,0.25,Second Best
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J')]",11,11,10,0.25,Win-win
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",19,17,10,0.25,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('F', 'J')]",14,16,10,0.25,Unfair
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J')]",17,17,10,0.25,Biased
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('F', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'J')]",13,9,10,0.25,Second Best
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",11,11,10,0.25,Win-win
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'F'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J')]",16,16,10,0.25,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",17,17,10,0.25,Unfair
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('F', 'J')]",15,16,10,0.25,Biased
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('F', 'J')]",11,11,10,0.25,Second Best
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Unfair
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Biased
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Second Best
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J')]",8,8,10,0.25,Win-win
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J')]",16,16,10,0.25,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J')]",17,17,10,0.25,Unfair
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('F', 'J')]",12,13,10,0.25,Biased
EleutherAI/pythia-70M-deduped,70426624,step41000,41000,"[('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J')]",13,9,10,0.25,Second Best
EleutherAI/pythia-70M-deduped,70426624,step47000,47000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",5,5,10,0.0,Win-win
EleutherAI/pythia-70M-deduped,70426624,step47000,47000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",20,20,10,0.0,Prisoner's Dilemma
