model,params,checkpoint,training_steps,moves,score_p1,score_p2,n_rounds,noise,family
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F')]",13,13,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'F'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J')]",29,31,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J')]",31,35,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F')]",38,39,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step11000,11000,"[('J', 'J'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J')]",20,16,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step13000,13000,"[('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",13,13,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step13000,13000,"[('J', 'F'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",31,29,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step13000,13000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('F', 'J')]",31,33,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step13000,13000,"[('F', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J')]",28,31,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step13000,13000,"[('J', 'J'), ('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",21,15,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step15000,15000,"[('J', 'F'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'J')]",22,22,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step15000,15000,"[('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'F'), ('F', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",27,33,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step15000,15000,"[('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",37,39,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step15000,15000,"[('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",35,36,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step15000,15000,"[('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J')]",23,17,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",13,13,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",40,40,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'J')]",25,31,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J')]",32,33,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step17000,17000,"[('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J')]",18,14,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step19000,19000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",10,10,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step19000,19000,"[('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J')]",32,24,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step19000,19000,"[('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J')]",31,35,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step19000,19000,"[('F', 'J'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J')]",29,30,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step19000,19000,"[('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J')]",24,20,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step21000,21000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('F', 'J')]",13,13,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step21000,21000,"[('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J')]",28,36,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step21000,21000,"[('F', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",28,30,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step21000,21000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",40,40,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step21000,21000,"[('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J')]",14,14,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('J', 'J')]",16,16,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('F', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",28,36,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J')]",28,28,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J')]",29,30,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step23000,23000,"[('J', 'J'), ('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'F')]",23,17,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step25000,25000,"[('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F')]",13,13,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step25000,25000,"[('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F')]",34,30,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step25000,25000,"[('F', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",32,36,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step25000,25000,"[('F', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J')]",34,34,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step25000,25000,"[('F', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J')]",20,20,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step27000,27000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J')]",13,13,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step27000,27000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J')]",36,28,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step27000,27000,"[('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J')]",31,37,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step27000,27000,"[('F', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J')]",25,28,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step27000,27000,"[('J', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",15,13,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J')]",13,13,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J')]",36,28,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'F')]",28,32,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('F', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J')]",22,22,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step29000,29000,"[('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J')]",23,17,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step31000,31000,"[('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",10,10,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step31000,31000,"[('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J')]",32,32,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step31000,31000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",37,39,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step31000,31000,"[('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F')]",35,36,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step31000,31000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J')]",17,15,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step33000,33000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",13,13,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step33000,33000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",40,40,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step33000,33000,"[('J', 'F'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J')]",28,32,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step33000,33000,"[('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J')]",31,34,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step33000,33000,"[('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J')]",12,12,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J')]",13,13,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J')]",36,36,10,0.2,Prisoner's Dilemma
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'J'), ('J', 'F')]",28,34,10,0.2,Unfair
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'J'), ('F', 'J'), ('J', 'F'), ('J', 'F'), ('J', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('J', 'F'), ('J', 'F')]",24,29,10,0.2,Biased
EleutherAI/pythia-70M-deduped,70426624,step35000,35000,"[('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'F'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'F')]",20,16,10,0.2,Second Best
EleutherAI/pythia-70M-deduped,70426624,step37000,37000,"[('J', 'F'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'F')]",16,16,10,0.2,Win-win
EleutherAI/pythia-70M-deduped,70426624,step37000,37000,"[('J', 'F'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J'), ('J', 'J'), ('F', 'J'), ('J', 'J')]",33,35,10,0.2,Prisoner's Dilemma
